Glb_cost, Shm_cost, l2_cost, Reg_cost, PE_cost, Clk_cost, Static_cost
100, 6, 20, 2, 1, 1, 150

vgg16, , , , , , , , , , , , , , vgg16
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  4096] [1000  4096] [1  1000] [] [] 8 1 , 64_1000_2048, 176368.0, 20805632.0, 201536.0, 0.0, 201536.0, 193536.0, 8000.0, 2099200.0, 28324352.0, 74179328.0, 45298336.0, 169728.0, 201536.0, 371264.0, 3733677, 950736, 176368.0, 20153600.0, 6258304.0, 7467354, 950736, 176368.0, 

 SUM , , 34114261.0, 40915830784.0, 497603392.0, 0.0, 496002880.0, 413239296.0, 82763584.0, 3539402752.0, 57100415488.0, 132984247040.0, 93227604864.0, 128903712.0, 496002880.0, 626507104.0, 7069120372, 1894994320, 34114261.0, 49600288000.0, 13679100224.0, 14138240744, 1894994320, 34114261.0, 

resnet18, , , , , , , , , , , , , , resnet18
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  3  224  224] [64  3  7  7] [1  64  112  112] [2  2] [3  3] 8 0 , 802816_64_80, 1091165.0, 1918576640.0, 12443648.0, 0.0, 10462208.0, 4039680.0, 6422528.0, 104366080.0, 2798616576.0, 4826529792.0, 2392666400.0, 5056128.0, 10462208.0, 17499776.0, 225599881, 90718208, 1091165.0, 1046220800.0, 314242816.0, 451199762, 90718208, 1091165.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 8 0 , 200704_64_288, 608537.0, 836935680.0, 7024640.0, 0.0, 7024640.0, 5419008.0, 1605632.0, 64626688.0, 1182547968.0, 2537299968.0, 1518251456.0, 2475744.0, 7024640.0, 9500384.0, 126735982, 38974208, 608537.0, 702464000.0, 197495104.0, 253471964, 38974208, 608537.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 8 0 , 200704_64_288, 608537.0, 836935680.0, 7024640.0, 0.0, 7024640.0, 5419008.0, 1605632.0, 64626688.0, 1182547968.0, 2537299968.0, 1518251456.0, 2475744.0, 7024640.0, 9500384.0, 126735982, 38974208, 608537.0, 702464000.0, 197495104.0, 253471964, 38974208, 608537.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 8 0 , 200704_64_288, 608537.0, 836935680.0, 7024640.0, 0.0, 7024640.0, 5419008.0, 1605632.0, 64626688.0, 1182547968.0, 2537299968.0, 1518251456.0, 2475744.0, 7024640.0, 9500384.0, 126735982, 38974208, 608537.0, 702464000.0, 197495104.0, 253471964, 38974208, 608537.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 8 0 , 200704_64_288, 608537.0, 836935680.0, 7024640.0, 0.0, 7024640.0, 5419008.0, 1605632.0, 64626688.0, 1182547968.0, 2537299968.0, 1518251456.0, 2475744.0, 7024640.0, 9500384.0, 126735982, 38974208, 608537.0, 702464000.0, 197495104.0, 253471964, 38974208, 608537.0, 
[1  64  56  56] [128  64  3  3] [1  128  28  28] [2  2] [1  1] 8 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 8 0 , 50176_128_576, 291314.0, 332165120.0, 4415488.0, 0.0, 4415488.0, 3612672.0, 802816.0, 29001728.0, 462522368.0, 1086711808.0, 789865728.0, 1024896.0, 4415488.0, 5440384.0, 58643048, 15360128, 291314.0, 441548800.0, 120952064.0, 117286096, 15360128, 291314.0, 
[1  64  56  56] [128  64  1  1] [1  128  28  28] [2  2] [0  0] 8 0 , 50176_128_32, 66464.0, 88688640.0, 1003520.0, 0.0, 923648.0, 120832.0, 802816.0, 3311616.0, 136378368.0, 193779712.0, 100478016.0, 225280.0, 923648.0, 1228800.0, 9195554, 4365312, 66464.0, 92364800.0, 25845760.0, 18391108, 4365312, 66464.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 8 0 , 50176_128_576, 291314.0, 332165120.0, 4415488.0, 0.0, 4415488.0, 3612672.0, 802816.0, 29001728.0, 462522368.0, 1086711808.0, 789865728.0, 1024896.0, 4415488.0, 5440384.0, 58643048, 15360128, 291314.0, 441548800.0, 120952064.0, 117286096, 15360128, 291314.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 8 0 , 50176_128_576, 291314.0, 332165120.0, 4415488.0, 0.0, 4415488.0, 3612672.0, 802816.0, 29001728.0, 462522368.0, 1086711808.0, 789865728.0, 1024896.0, 4415488.0, 5440384.0, 58643048, 15360128, 291314.0, 441548800.0, 120952064.0, 117286096, 15360128, 291314.0, 
[1  128  28  28] [256  128  3  3] [1  256  14  14] [2  2] [1  1] 8 0 , 12544_256_576, 174674.0, 166082560.0, 2207744.0, 0.0, 2207744.0, 1806336.0, 401408.0, 14500864.0, 231261184.0, 543355904.0, 394878304.0, 476544.0, 2207744.0, 2684288.0, 29319819, 7680064, 174674.0, 220774400.0, 60260608.0, 58639638, 7680064, 174674.0, 
[1  256  14  14] [256  256  3  3] [1  256  14  14] [1  1] [1  1] 8 0 , 12544_256_1152, 321421.0, 301106176.0, 4014080.0, 0.0, 4014080.0, 3612672.0, 401408.0, 28951552.0, 412346368.0, 1043259392.0, 760047968.0, 946176.0, 4014080.0, 4960256.0, 56353355, 13790560, 321421.0, 401408000.0, 110043136.0, 112706710, 13790560, 321421.0, 
[1  128  28  28] [256  128  1  1] [1  256  14  14] [2  2] [0  0] 8 0 , 12544_256_64, 41983.0, 44265472.0, 602112.0, 0.0, 583680.0, 182272.0, 401408.0, 1655808.0, 68289536.0, 96940032.0, 65737984.0, 122496.0, 583680.0, 724608.0, 5083688, 2185792, 41983.0, 58368000.0, 16021248.0, 10167376, 2185792, 41983.0, 
[1  256  14  14] [256  256  3  3] [1  256  14  14] [1  1] [1  1] 8 0 , 12544_256_1152, 321421.0, 301106176.0, 4014080.0, 0.0, 4014080.0, 3612672.0, 401408.0, 28951552.0, 412346368.0, 1043259392.0, 760047968.0, 946176.0, 4014080.0, 4960256.0, 56353355, 13790560, 321421.0, 401408000.0, 110043136.0, 112706710, 13790560, 321421.0, 
[1  256  14  14] [256  256  3  3] [1  256  14  14] [1  1] [1  1] 8 0 , 12544_256_1152, 321421.0, 301106176.0, 4014080.0, 0.0, 4014080.0, 3612672.0, 401408.0, 28951552.0, 412346368.0, 1043259392.0, 760047968.0, 946176.0, 4014080.0, 4960256.0, 56353355, 13790560, 321421.0, 401408000.0, 110043136.0, 112706710, 13790560, 321421.0, 
[1  256  14  14] [512  256  3  3] [1  512  7  7] [2  2] [1  1] 8 0 , 3136_512_1152, 213971.0, 153597440.0, 2025472.0, 0.0, 2025472.0, 1824768.0, 200704.0, 14771200.0, 210380800.0, 532238336.0, 385220896.0, 479168.0, 2025472.0, 2504640.0, 28670601, 7036000, 213971.0, 202547200.0, 55537280.0, 57341202, 7036000, 213971.0, 
[1  512  7  7] [512  512  3  3] [1  512  7  7] [1  1] [1  1] 4 0 , 3136_512_1152, 213971.0, 153597440.0, 2025472.0, 0.0, 2025472.0, 1824768.0, 200704.0, 14771200.0, 210380800.0, 532238336.0, 385220896.0, 479168.0, 2025472.0, 2504640.0, 28670601, 7036000, 213971.0, 202547200.0, 55537280.0, 57341202, 7036000, 213971.0, 
[1  256  14  14] [512  256  1  1] [1  512  7  7] [2  2] [0  0] 8 0 , 3136_512_128, 39081.0, 31133184.0, 403456.0, 0.0, 402432.0, 201728.0, 200704.0, 1664000.0, 46131200.0, 78843904.0, 55905824.0, 85984.0, 402432.0, 489440.0, 4210929, 1493600, 39081.0, 40243200.0, 10985280.0, 8421858, 1493600, 39081.0, 
[1  512  7  7] [512  512  3  3] [1  512  7  7] [1  1] [1  1] 8 0 , 3136_512_2304, 410007.0, 291376640.0, 3850240.0, 0.0, 3850240.0, 3649536.0, 200704.0, 29516800.0, 395161600.0, 1042307072.0, 755554176.0, 976064.0, 3850240.0, 4826304.0, 56183164, 13271200, 410007.0, 385024000.0, 105962624.0, 112366328, 13271200, 410007.0, 
[1  512  7  7] [512  512  3  3] [1  512  7  7] [1  1] [1  1] 4 0 , 3136_512_1152, 213971.0, 153597440.0, 2025472.0, 0.0, 2025472.0, 1824768.0, 200704.0, 14771200.0, 210380800.0, 532238336.0, 385220896.0, 479168.0, 2025472.0, 2504640.0, 28670601, 7036000, 213971.0, 202547200.0, 55537280.0, 57341202, 7036000, 213971.0, 
[1  512] [1000  512] [1  1000] [] [] 8 1 , 64_1000_256, 30869.0, 3659776.0, 32192.0, 0.0, 32192.0, 24192.0, 8000.0, 264192.0, 5329408.0, 10819584.0, 6705664.0, 26368.0, 32192.0, 58560.0, 547664, 174800, 30869.0, 3219200.0, 995200.0, 1095328, 174800, 30869.0, 

 SUM , , 6949474.0, 8464175616.0, 82615744.0, 0.0, 80534976.0, 60657280.0, 19877696.0, 648116224.0, 11968666112.0, 25570757632.0, 16090546240.0, 24845536.0, 80534976.0, 107461280.0, 1301915746, 394274448, 6949474.0, 8053497600.0, 2255467200.0, 2603831492, 394274448, 6949474.0, 

resnet50, , , , , , , , , , , , , , resnet50
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  3  224  224] [64  3  7  7] [1  64  112  112] [2  2] [3  3] 8 0 , 802816_64_80, 1091165.0, 1918576640.0, 12443648.0, 0.0, 10462208.0, 4039680.0, 6422528.0, 104366080.0, 2798616576.0, 4826529792.0, 2392666400.0, 5056128.0, 10462208.0, 17499776.0, 225599881, 90718208, 1091165.0, 1046220800.0, 314242816.0, 451199762, 90718208, 1091165.0, 
[1  64  56  56] [64  64  1  1] [1  64  56  56] [1  1] [0  0] 8 0 , 200704_64_32, 187487.0, 342740992.0, 2207744.0, 0.0, 2017280.0, 411648.0, 1605632.0, 13246464.0, 521830400.0, 746217472.0, 384334528.0, 876512.0, 2017280.0, 3084256.0, 35329750, 16721152, 187487.0, 201728000.0, 58851136.0, 70659500, 16721152, 187487.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 8 0 , 200704_64_288, 608537.0, 836935680.0, 7024640.0, 0.0, 7024640.0, 5419008.0, 1605632.0, 64626688.0, 1182547968.0, 2537299968.0, 1518251456.0, 2475744.0, 7024640.0, 9500384.0, 126735982, 38974208, 608537.0, 702464000.0, 197495104.0, 253471964, 38974208, 608537.0, 
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 8 0 , 200704_256_32, 493728.0, 710246400.0, 8028160.0, 0.0, 7266304.0, 843776.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 789105696.0, 1779712.0, 7266304.0, 9807872.0, 73104481, 34922496, 493728.0, 726630400.0, 204173312.0, 146208962, 34922496, 493728.0, 
