, vgg16, vgg16, resnet18, resnet18, resnet50, resnet50, inceptionv3, inceptionv3, vit, vit, rte, rte, wnli, wnli, mrpc, mrpc, cola, cola, sst_2, sst_2, qnli, qnli, qqp, qqp, mnli, mnli 
, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution, ant, bitfution 
Static, 3994541100.0, 5117139150.0, 734842350.0, 1042421100.0, 1734145800.0, 2117157450.0, 3680662200.0, 4815537600.0, 4215131250.0, 6266380800.0, 2413677450.0, 3818496450.0, 2409169200.0, 3520540800.0, 2413677450.0, 3780460350.0, 2546552100.0, 4159805250.0, 2409169200.0, 3520540800.0, 2437608150.0, 3829577550.0, 2437608150.0, 3927811950.0, 2498690700.0, 3780460350.0
Dram, 35206511100.0, 49600288000.0, 5091638000.0, 8053497600.0, 14948446000.0, 18832648000.0, 26330186400.0, 35697970000.0, 45092869200.0, 64824137600.0, 25483955200.0, 39167872000.0, 25482486400.0, 36335248000.0, 25483955200.0, 38813891200.0, 26781568000.0, 42470886400.0, 25482486400.0, 36335248000.0, 25719884800.0, 39285750400.0, 25719884800.0, 40229468800.0, 26309708800.0, 38813891200.0
Buffer, 9893626572.0, 13679100224.0, 1462336432.0, 2255467200.0, 4199287280.0, 5264543360.0, 7533325344.0, 10124432576.0, 12326027280.0, 17751548224.0, 6958902368.0, 10719993440.0, 6958439840.0, 9941465504.0, 6958902368.0, 10622721440.0, 7315474016.0, 11627709536.0, 6958439840.0, 9941465504.0, 7023727712.0, 10752404384.0, 7023727712.0, 11011770272.0, 7185823328.0, 10622721440.0
Core, 12504660568, 16033235064, 2064342804, 2998105940, 4564122732, 5806784662, 10741063170, 14248340718, 12700469812, 19265750040, 6957560588, 11516876620, 6956899968, 10572997248, 6957560588, 11398901258, 7389845602, 12617283284, 6956899968, 10572997248, 7036154544, 11556107426, 7036154544, 11870519762, 7232657690, 11398901258
