Glb_cost, Shm_cost, l2_cost, Reg_cost, PE_cost, Clk_cost, Static_cost
100, 6, 20, 2, 1, 1, 150

vgg16, , , , , , , , , , , , , , vgg16
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  4096] [1000  4096] [1  1000] [] [] 8 1 , 64_1000_2048, 176368.0, 20805632.0, 201536.0, 0.0, 201536.0, 193536.0, 8000.0, 2099200.0, 28324352.0, 74179328.0, 45298336.0, 169728.0, 201536.0, 371264.0, 3733677, 950736, 176368.0, 20153600.0, 6258304.0, 7467354, 950736, 176368.0, 

 SUM , , 26630274.0, 36153902408.0, 369152832.0, 0.0, 352065111.0, 243611415.0, 108453696.0, 2627403776.0, 51635044864.0, 106288005888.0, 66655338880.0, 106234560.0, 352065111.0, 475387392.0, 5404479524, 1695701520, 26630274.0, 35206511100.0, 9893626572.0, 10808959048, 1695701520, 26630274.0, 

resnet18, , , , , , , , , , , , , , resnet18
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  3  224  224] [64  3  7  7] [1  64  112  112] [2  2] [3  3] 8 0 , 802816_64_80, 1091165.0, 1918576640.0, 12443648.0, 0.0, 10462208.0, 4039680.0, 6422528.0, 104366080.0, 2798616576.0, 4826529792.0, 2392666400.0, 5056128.0, 10462208.0, 17499776.0, 225599881, 90718208, 1091165.0, 1046220800.0, 314242816.0, 451199762, 90718208, 1091165.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 4 0 , 200704_64_144, 396239.0, 599253168.0, 4315136.0, 0.0, 3576412.0, 1970780.0, 1605632.0, 38936576.0, 860618752.0, 1650188288.0, 839969056.0, 1667968.0, 3576412.0, 5983104.0, 77817417, 28111104, 396239.0, 357641200.0, 107426864.0, 155634834, 28111104, 396239.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 4 0 , 200704_64_144, 396239.0, 599253168.0, 4315136.0, 0.0, 3576412.0, 1970780.0, 1605632.0, 38936576.0, 860618752.0, 1650188288.0, 839969056.0, 1667968.0, 3576412.0, 5983104.0, 77817417, 28111104, 396239.0, 357641200.0, 107426864.0, 155634834, 28111104, 396239.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 4 0 , 200704_64_144, 396239.0, 599253168.0, 4315136.0, 0.0, 3576412.0, 1970780.0, 1605632.0, 38936576.0, 860618752.0, 1650188288.0, 839969056.0, 1667968.0, 3576412.0, 5983104.0, 77817417, 28111104, 396239.0, 357641200.0, 107426864.0, 155634834, 28111104, 396239.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 4 0 , 200704_64_144, 396239.0, 599253168.0, 4315136.0, 0.0, 3576412.0, 1970780.0, 1605632.0, 38936576.0, 860618752.0, 1650188288.0, 839969056.0, 1667968.0, 3576412.0, 5983104.0, 77817417, 28111104, 396239.0, 357641200.0, 107426864.0, 155634834, 28111104, 396239.0, 
[1  64  56  56] [128  64  3  3] [1  128  28  28] [2  2] [1  1] 4 0 , 50176_128_144, 122827.0, 152005688.0, 1705984.0, 0.0, 1515244.0, 712428.0, 802816.0, 9734144.0, 221075456.0, 420173824.0, 240834912.0, 419328.0, 1515244.0, 2125312.0, 20656523, 7212800, 122827.0, 151524400.0, 43056752.0, 41313046, 7212800, 122827.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  64  56  56] [128  64  1  1] [1  128  28  28] [2  2] [0  0] 4 0 , 50176_128_16, 67769.0, 88398848.0, 903168.0, 0.0, 863232.0, 60416.0, 802816.0, 3311616.0, 136378368.0, 193779712.0, 92871488.0, 223872.0, 863232.0, 1127040.0, 8957850, 4365312, 67769.0, 86323200.0, 24026880.0, 17915700, 4365312, 67769.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [256  128  3  3] [1  256  14  14] [2  2] [1  1] 4 0 , 12544_256_288, 109076.0, 106021888.0, 1304576.0, 0.0, 1304576.0, 903168.0, 401408.0, 8078336.0, 150778880.0, 321176576.0, 219943328.0, 317440.0, 1304576.0, 1622016.0, 16909997, 4964288, 109076.0, 130457600.0, 35823616.0, 33819994, 4964288, 109076.0, 
[1  256  14  14] [256  256  3  3] [1  256  14  14] [1  1] [1  1] 4 0 , 12544_256_576, 174674.0, 166082560.0, 2207744.0, 0.0, 2207744.0, 1806336.0, 401408.0, 14500864.0, 231261184.0, 543355904.0, 394878304.0, 476544.0, 2207744.0, 2684288.0, 29319819, 7680064, 174674.0, 220774400.0, 60260608.0, 58639638, 7680064, 174674.0, 
[1  128  28  28] [256  128  1  1] [1  256  14  14] [2  2] [0  0] 4 0 , 12544_256_32, 40454.0, 44163072.0, 501760.0, 0.0, 492032.0, 90624.0, 401408.0, 1655808.0, 68189184.0, 96889856.0, 53985120.0, 132352.0, 492032.0, 634112.0, 4714843, 2182656, 40454.0, 49203200.0, 13645312.0, 9429686, 2182656, 40454.0, 
[1  256  14  14] [256  256  3  3] [1  256  14  14] [1  1] [1  1] 4 0 , 12544_256_576, 174674.0, 166082560.0, 2207744.0, 0.0, 2207744.0, 1806336.0, 401408.0, 14500864.0, 231261184.0, 543355904.0, 394878304.0, 476544.0, 2207744.0, 2684288.0, 29319819, 7680064, 174674.0, 220774400.0, 60260608.0, 58639638, 7680064, 174674.0, 
[1  256  14  14] [256  256  3  3] [1  256  14  14] [1  1] [1  1] 4 0 , 12544_256_576, 174674.0, 166082560.0, 2207744.0, 0.0, 2207744.0, 1806336.0, 401408.0, 14500864.0, 231261184.0, 543355904.0, 394878304.0, 476544.0, 2207744.0, 2684288.0, 29319819, 7680064, 174674.0, 220774400.0, 60260608.0, 58639638, 7680064, 174674.0, 
[1  256  14  14] [512  256  3  3] [1  512  7  7] [2  2] [1  1] 4 0 , 3136_512_576, 115433.0, 84707840.0, 1113088.0, 0.0, 1113088.0, 912384.0, 200704.0, 7398400.0, 117990400.0, 277203968.0, 200113856.0, 267616.0, 1113088.0, 1380704.0, 14916182, 3918400, 115433.0, 111308800.0, 30545984.0, 29832364, 3918400, 115433.0, 
[1  512  7  7] [512  512  3  3] [1  512  7  7] [1  1] [1  1] 4 0 , 3136_512_1152, 213971.0, 153597440.0, 2025472.0, 0.0, 2025472.0, 1824768.0, 200704.0, 14771200.0, 210380800.0, 532238336.0, 385220896.0, 479168.0, 2025472.0, 2504640.0, 28670601, 7036000, 213971.0, 202547200.0, 55537280.0, 57341202, 7036000, 213971.0, 
[1  256  14  14] [512  256  1  1] [1  512  7  7] [2  2] [0  0] 4 0 , 3136_512_64, 27570.0, 22505984.0, 302080.0, 0.0, 301056.0, 100352.0, 200704.0, 844800.0, 34841600.0, 49457152.0, 34453664.0, 56288.0, 301056.0, 358368.0, 2622213, 1115200, 27570.0, 30105600.0, 8171328.0, 5244426, 1115200, 27570.0, 
[1  512  7  7] [512  512  3  3] [1  512  7  7] [1  1] [1  1] 4 0 , 3136_512_1152, 213971.0, 153597440.0, 2025472.0, 0.0, 2025472.0, 1824768.0, 200704.0, 14771200.0, 210380800.0, 532238336.0, 385220896.0, 479168.0, 2025472.0, 2504640.0, 28670601, 7036000, 213971.0, 202547200.0, 55537280.0, 57341202, 7036000, 213971.0, 
[1  512  7  7] [512  512  3  3] [1  512  7  7] [1  1] [1  1] 4 0 , 3136_512_1152, 213971.0, 153597440.0, 2025472.0, 0.0, 2025472.0, 1824768.0, 200704.0, 14771200.0, 210380800.0, 532238336.0, 385220896.0, 479168.0, 2025472.0, 2504640.0, 28670601, 7036000, 213971.0, 202547200.0, 55537280.0, 57341202, 7036000, 213971.0, 
[1  512] [1000  512] [1  1000] [] [] 8 1 , 64_1000_256, 30869.0, 3659776.0, 32192.0, 0.0, 32192.0, 24192.0, 8000.0, 264192.0, 5329408.0, 10819584.0, 6705664.0, 26368.0, 32192.0, 58560.0, 547664, 174800, 30869.0, 3219200.0, 995200.0, 1095328, 174800, 30869.0, 

 SUM , , 4898949.0, 6412223736.0, 56094144.0, 0.0, 50916380.0, 31038684.0, 19877696.0, 427685888.0, 9205274112.0, 17950625792.0, 10262379072.0, 17907328.0, 50916380.0, 74001472.0, 881656402, 301030000, 4898949.0, 5091638000.0, 1462336432.0, 1763312804, 301030000, 4898949.0, 

resnet50, , , , , , , , , , , , , , resnet50
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  3  224  224] [64  3  7  7] [1  64  112  112] [2  2] [3  3] 8 0 , 802816_64_80, 1091165.0, 1918576640.0, 12443648.0, 0.0, 10462208.0, 4039680.0, 6422528.0, 104366080.0, 2798616576.0, 4826529792.0, 2392666400.0, 5056128.0, 10462208.0, 17499776.0, 225599881, 90718208, 1091165.0, 1046220800.0, 314242816.0, 451199762, 90718208, 1091165.0, 
[1  64  56  56] [64  64  1  1] [1  64  56  56] [1  1] [0  0] 4 0 , 200704_64_16, 187998.0, 341968896.0, 1906688.0, 0.0, 1811456.0, 205824.0, 1605632.0, 13246464.0, 521830400.0, 746217472.0, 358195776.0, 858624.0, 1811456.0, 2765312.0, 34512914, 16721152, 187998.0, 181145600.0, 52820992.0, 69025828, 16721152, 187998.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 4 0 , 200704_64_144, 396239.0, 599253168.0, 4315136.0, 0.0, 3576412.0, 1970780.0, 1605632.0, 38936576.0, 860618752.0, 1650188288.0, 839969056.0, 1667968.0, 3576412.0, 5983104.0, 77817417, 28111104, 396239.0, 357641200.0, 107426864.0, 155634834, 28111104, 396239.0, 
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 4 0 , 200704_256_16, 503831.0, 707559424.0, 7225344.0, 0.0, 6844416.0, 421888.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 735299808.0, 1765632.0, 6844416.0, 8990976.0, 71423047, 34922496, 503831.0, 684441600.0, 190834176.0, 142846094, 34922496, 503831.0, 
